region	gridX	gridY
Hammersmith	1	6
Avondale	1	3
Olympia	1	5
Notting Hill | Ladbroke Grove	2	4
Shepherd's Bush	1	4
Fulham	1	7
Sands End | Parson's Green	2	7
West Kensington	2	6
Walham Green	3	7
Portobello	2	3
Bayswater | Paddington	3	3
Kensington	3	4
Earl's Court	2	5
Putney | Wandsworth	2	8
Clapham	3	8
West Chelsea	3	6
South Kensington	3	5
St John's Wood	3	2
Hyde Park	4	4
Chelsea	4	6
Mayfair	5	4
Knightsbridge	4	5
Marylebone	4	3
Brixton	7	7
Battersea	4	7
Victoria | Pimlico	5	6
Stockwell | Wandsworth Road	6	7
Regent's Park	4	2
Camden Town	5	1
Soho	5	3
Euston	5	2
Battersea Park	5	7
Westminster	5	5
King's Cross	6	1
West End	6	4
Clerkenwell	7	2
Bloomsbury | Fitzrovia	6	2
Covent Garden | Strand	6	3
Waterloo | South Bank	6	5
Vauxhall | Kennington	6	6
Angel	7	1
Holborn	7	3
St Paul's	7	4
Barbican	8	3
Elephant & Castle | Walworth	7	6
Haggerston	9	1
Hoxton	8	1
Southwark | Bankside	7	5
Finsbury | St Luke's	8	2
Borough | Bermondsey	8	5
Bank	8	4
Liverpool Street	9	3
Millwall | Cubitt Town	12	5
Wapping	10	3
Shoreditch	9	2
Aldgate	9	4
Whitechapel	10	2
Olympic Park	12	0
Bethnal Green	10	1
Limehouse	12	3
Stepney | Shadwell	11	3
Victoria Park	11	1
Mile End	11	2
Bow | Old Ford	12	1
Blackwall | Poplar	12	2
Canary Wharf	12	4
